id,job_id,task_id,timestamp,src_ip,dst_ip,src_port,dst_port,packet_size,protocol
1,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.172556+00,10.2.1.187,10.2.2.161,60156,53,141,UDP
2,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.172806+00,10.2.1.187,10.2.3.58,60869,53,141,UDP
3,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.176168+00,10.2.1.187,10.2.2.161,57453,53,129,UDP
4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.176224+00,10.2.1.187,10.2.3.58,58972,53,129,UDP
5,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.179315+00,10.2.1.187,10.2.2.161,47850,53,125,UDP
6,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.179383+00,10.2.1.187,10.2.2.161,49527,53,125,UDP
7,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.182353+00,10.2.1.187,10.2.3.58,49722,53,111,UDP
8,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.182357+00,10.2.1.187,10.2.2.161,39944,53,111,UDP
9,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.186614+00,10.2.1.187,10.2.1.135,34250,8080,74,TCP
10,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.186721+00,10.2.1.187,10.2.1.135,34250,8080,66,TCP
11,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.187039+00,10.2.1.187,10.2.1.135,34250,8080,126,TCP
12,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.187169+00,10.2.1.187,10.2.1.135,34250,8080,83,TCP
13,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.187245+00,10.2.1.187,10.2.1.135,34250,8080,72,TCP
14,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,2025-07-01 07:45:34.187304+00,10.2.1.187,10.2.1.135,34250,8080,66,TCP
