task_id,src_endpoint,dst_endpoint,range_begin,range_end,src_ip,src_port,dst_ip,dst_port,packet_size
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37682,10.2.0.81,9000,74
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37682,10.2.0.81,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37682,10.2.0.81,9000,327
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37682,10.2.0.81,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37682,10.2.0.81,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37694,10.2.0.81,9000,74
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37694,10.2.0.81,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37694,10.2.0.81,9000,335
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37694,10.2.0.81,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,37694,10.2.0.81,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41758,3.36.70.139,9000,74
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41758,3.36.70.139,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41758,3.36.70.139,9000,600
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41758,3.36.70.139,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41758,3.36.70.139,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41766,3.36.70.139,9000,74
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41766,3.36.70.139,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41766,3.36.70.139,9000,773
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41766,3.36.70.139,9000,269
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41766,3.36.70.139,9000,152
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41766,3.36.70.139,9000,66
3f9476e3-47bf-4391-8081-6f2577998a49,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,0,100,10.2.1.147,41766,3.36.70.139,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43078,10.2.0.81,9000,74
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43078,10.2.0.81,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43078,10.2.0.81,9000,327
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43078,10.2.0.81,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43078,10.2.0.81,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43094,10.2.0.81,9000,74
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43094,10.2.0.81,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43094,10.2.0.81,9000,337
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43094,10.2.0.81,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,43094,10.2.0.81,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47342,13.209.96.73,9000,74
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47342,13.209.96.73,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47342,13.209.96.73,9000,598
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47342,13.209.96.73,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47342,13.209.96.73,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47352,13.209.96.73,9000,74
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47352,13.209.96.73,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47352,13.209.96.73,9000,772
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47352,13.209.96.73,9000,252
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47352,13.209.96.73,9000,152
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47352,13.209.96.73,9000,66
38de10bf-4096-46c8-bf98-d1a0844966c5,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,100,200,10.2.0.145,47352,13.209.96.73,9000,66
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,59280,10.2.0.81,9000,74
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,59280,10.2.0.81,9000,66
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,59280,10.2.0.81,9000,327
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,59280,10.2.0.81,9000,66
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,59280,10.2.0.81,9000,66
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,59284,10.2.0.81,9000,74
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,59284,10.2.0.81,9000,66
